iter	RMSE
159	109418.3184
160	109209.2871
161	109165.2693
162	109022.8464
163	108933.7214
164	108796.7154
165	108722.0472
166	108596.2692
167	108489.5288
168	108325.5404
169	108063.9094
170	107763.6593
171	107682.8451
172	107596.6876
173	107526.5624
174	107364.9878
175	107255.5972
176	107000.1157
177	106747.4841
178	106669.5745
179	106552.1782
180	106324.7917
181	106211.5403
182	106131.7447
183	105923.1977
184	105803.7732
185	105597.5789
186	105521.8415
187	105288.6292
188	105122.0688
189	105017.0644
190	104939.3349
191	104871.7478
192	104744.22
193	104576.2147
194	104468.0802
195	104189.5315
196	103967.4185
197	103796.4626
198	103740.2712
199	103615.4352
200	103525.1309
201	103394.1987
202	103329.2965
203	103171.2959
204	103031.7809
205	102949.3134
206	102894.5162
207	102706.188
208	102660.6637
209	102450.0423
210	102336.5575
211	102172.1137
212	102101.9451
213	102023.3268
214	101853.6844
215	101742.1304
216	101571.827
217	101494.2843
218	101326.2594
219	101216.0483
220	101044.722
221	100954.5936
222	100899.9069
223	100777.8772
224	100634.168
225	100540.3198
226	100469.9656
227	100368.9089
228	100258.7391
229	100160.0518
230	100083.7976
231	99968.95779
232	99904.7771
233	99772.68118
234	99719.50356
235	99547.70334
236	99473.72413
237	99352.33154
238	99240.93604
239	99167.18847
240	99059.24827
241	98977.26791
242	98804.4406
243	98672.61369
244	98543.05069
245	98452.40886
246	98325.29312
247	98190.28333
248	98008.77969
249	97932.3464
250	97834.1935
251	97732.47591
252	97663.1218
253	97567.52873
254	97463.0975
255	97379.21047
256	97242.35728
257	97161.0411
258	97102.77366
259	97039.76312
260	96938.58461
261	96845.31927
262	96722.51205
263	96603.40422
264	96530.53061
265	96408.37032
266	96308.21415
267	96168.88904
268	96088.48304
269	95996.37732
270	95916.60597
271	95836.74581
272	95737.59554
273	95698.98169
274	95573.8305
275	95464.02712
276	95338.86678
277	95193.61767
278	95089.08724
279	95029.56054
280	94969.97275
281	94909.23052
282	94800.75343
283	94672.69146
284	94566.45539
285	94483.28914
286	94402.45982
287	94338.64092
288	94264.55073
289	94206.9129
290	94074.14066
291	93999.60726
292	93894.91169
293	93823.15813
294	93704.6469
295	93623.91769
296	93572.59321
297	93527.00225
298	93442.98766
299	93395.11498
300	93346.19436
301	93233.93071
302	93098.82778
303	93041.25249
304	92941.26496
305	92843.64342
306	92738.81284
307	92675.08262
308	92608.10862
309	92532.36192
310	92483.30065
311	92432.01462
312	92343.65963
313	92267.57557
314	92203.85218
315	92183.30308
316	92109.02852
317	92014.19024
318	91974.95527
319	91891.58622
320	91847.44835
321	91748.12767
322	91659.51659
323	91566.07463
324	91512.00917
325	91443.48201
326	91358.19577
327	91289.5999
328	91229.16701
329	91157.83422
330	91108.05097
331	90995.71774
332	90937.4234
333	90875.34955
334	90797.70714
335	90779.43605
336	90721.84468
337	90622.76668
338	90560.80331
339	90536.61214
340	90453.26136
341	90378.8185
342	90344.12494
343	90267.83079
344	90169.35609
345	90110.78103
346	90094.22001
347	90017.08188
348	89929.82998
349	89845.5588
350	89769.55927
351	89660.53728
352	89610.45768
353	89582.05796
354	89542.70897
355	89497.72493
356	89400.56268
357	89363.30242
358	89291.38243
359	89256.78557
360	89227.40658
361	89109.31577
362	89032.01191
363	88926.42042
364	88850.84752
365	88777.1942
366	88714.6924
367	88659.3868
368	88594.18961
369	88519.1952
370	88469.07371
371	88396.88899
372	88324.63992
373	88226.6468
374	88176.12292
375	88107.78168
376	88038.61736
377	87972.99527
378	87921.43767
379	87869.04115
380	87828.39029
381	87763.88898
382	87706.8017
383	87646.96164
384	87592.70901
385	87495.08515
386	87431.48011
387	87354.36389
388	87296.66385
389	87238.96586
390	87181.86596
391	87095.41707
392	87055.78431
393	86982.49908
394	86946.73004
395	86913.09722
396	86829.08585
397	86766.0208
398	86704.10506
399	86598.96477
400	86558.84258
401	86482.84635
402	86446.0478
403	86404.91057
404	86349.58752
405	86311.69299
406	86268.69395
407	86201.71306
408	86136.06048
409	86073.8737
410	85996.30197
411	85931.57278
412	85878.69588
413	85833.65715
414	85727.65598
415	85647.91845
416	85585.32458
417	85486.23586
418	85455.26618
419	85390.27948
420	85342.00833
421	85294.42919
422	85229.12383
423	85198.45547
424	85129.88294
425	85089.4692
426	85029.19392
427	84994.86474
428	84929.54311
429	84874.70533
430	84822.58167
431	84743.41277
432	84717.76032
433	84656.80756
434	84606.63439
435	84543.85294
436	84485.93856
437	84427.57639
438	84374.85405
439	84307.66273
440	84238.11251
441	84190.49486
442	84135.23561
443	84054.13433
444	84017.06702
445	83964.67469
446	83930.39033
447	83873.82129
448	83819.96914
449	83778.53617
450	83725.52426
451	83703.10703
452	83651.63697
453	83590.92059
454	83528.30979
455	83473.77946
456	83428.06605
457	83390.9216
458	83353.26461
459	83311.80472
460	83264.17327
461	83201.75916
462	83151.26203
463	83094.33951
464	83071.71901
465	83012.13776
466	82970.14366
467	82928.69902
468	82889.26141
469	82843.50587
470	82782.77357
471	82735.21381
472	82703.89073
473	82655.81669
474	82615.047
475	82549.02114
476	82500.06255
477	82471.16785
478	82454.26171
479	82392.90471
480	82352.50244
481	82304.17547
482	82283.93322
483	82197.12028
484	82136.86593
485	82103.6126
486	82094.06689
487	82022.74193
488	81951.92802
489	81907.32497
490	81856.56345
491	81799.35044
492	81714.68312
493	81675.11077
494	81647.98446
495	81582.3
496	81528.47399
497	81484.66864
498	81422.88305
499	81411.61332
500	81363.38492
501	81325.36549
502	81273.88519
503	81226.57145
504	81139.38979
505	81053.66992
506	81003.69719
507	80967.84948
508	80934.43954
509	80881.08978
510	80846.1577
511	80805.13102
512	80760.49877
513	80732.14538
514	80669.56269
515	80592.82575
516	80517.63862
517	80456.11187
518	80422.84333
519	80374.2569
520	80319.34472
521	80291.29204
522	80259.59993
523	80205.56033
524	80182.56278
525	80152.95854
526	80114.4231
527	80056.57621
528	80023.06065
529	79970.61208
530	79941.93965
531	79879.70207
532	79843.86643
533	79818.06048
534	79754.27526
535	79706.03413
536	79672.42698
537	79614.39263
538	79561.71999
539	79526.39368
540	79466.7415
541	79405.10279
542	79352.86619
543	79330.30376
544	79294.55612
545	79247.64266
546	79215.80454
547	79165.65754
548	79104.83855
549	79077.19307
550	79050.2882
551	78989.7103
552	78954.14795
553	78913.31408
554	78868.10666
555	78837.81944
556	78819.44918
557	78789.13417
558	78739.31119
559	78700.67461
560	78655.75068
561	78603.72261
562	78566.90993
563	78540.28727
564	78495.51482
565	78486.76851
566	78437.28482
567	78417.75455
568	78372.43937
569	78342.19526
570	78300.52771
571	78266.52756
572	78259.21376
573	78234.9099
574	78193.28028
575	78151.58346
576	78104.34877
577	78066.40489
578	78030.3063
579	77973.41717
580	77945.72266
581	77922.45741
582	77887.37674
583	77832.13316
584	77805.57983
585	77748.58282
586	77723.94425
587	77682.84935
588	77674.02281
589	77624.03471
590	77578.55117
591	77544.21732
592	77483.64082
593	77465.11419
594	77435.5826
595	77404.40319
596	77357.14192
597	77321.78683
598	77287.45729
599	77266.61544
600	77231.13352
601	77209.84438
602	77178.75772
603	77138.68619
604	77085.31877
605	77060.98929
606	77044.70977
607	76987.6664
608	76936.80574
609	76911.60129
610	76892.96543
611	76843.36545
612	76820.78701
613	76791.18662
614	76766.84895
615	76711.38274
616	76698.59561
617	76662.36284
618	76594.9845
619	76545.04011
620	76500.12583
621	76474.45651
622	76454.08961
623	76406.85809
624	76368.39126
625	76337.20059
626	76287.72395
627	76241.05594
628	76190.5441
629	76161.37435
630	76095.92477
631	76032.25858
632	76012.75623
633	75969.17989
634	75916.48759
635	75885.61219
636	75856.65802
637	75814.76667
638	75750.47785
639	75724.34268
640	75689.40278
641	75635.61365
642	75620.57155
643	75584.69078
644	75551.7543
645	75499.07385
646	75475.03934
647	75418.2962
648	75371.52519
649	75342.34578
650	75306.7864
651	75268.50094
652	75246.95159
653	75199.75986
654	75178.96667
655	75157.08803
656	75113.38222
657	75091.65039
658	75062.04653
659	75008.39707
660	74986.58132
661	74964.76789
662	74928.60822
663	74878.49042
664	74863.20288
665	74830.86896
666	74801.83017
667	74747.13797
668	74727.26025
669	74709.31628
670	74689.38527
671	74664.68509
672	74619.27276
673	74574.67915
674	74552.43138
675	74516.97857
676	74492.49849
677	74461.8816
678	74429.39096
679	74406.43786
680	74392.24587
681	74363.41151
682	74323.79546
683	74279.48766
684	74258.18711
685	74237.98966
686	74195.53123
687	74162.65768
688	74142.85154
689	74111.60201
690	74092.2713
691	74053.93103
692	74020.42534
693	73975.7941
694	73940.35066
695	73887.6366
696	73857.7367
697	73827.92546
698	73788.54132
699	73759.50944
700	73729.7101
701	73701.41226
702	73663.67138
703	73649.4079
704	73626.44479
705	73601.08198
706	73563.2094
707	73533.97279
708	73515.79192
709	73477.75472
710	73453.91807
711	73423.49955
712	73399.61964
713	73373.73691
714	73346.24819
715	73320.34198
716	73284.60864
717	73263.13075
718	73213.60432
719	73182.44435
720	73170.15682
721	73131.85316
722	73104.664
723	73067.62003
724	73035.08852
725	72991.17407
726	72944.54751
727	72911.66091
728	72880.42122
729	72854.71201
730	72833.30011
731	72788.34302
732	72759.48586
733	72746.75333
734	72716.54294
735	72689.28706
736	72654.20753
737	72601.27569
738	72573.19817
739	72543.09981
740	72522.36371
741	72487.69185
742	72475.73124
743	72454.13683
744	72402.94824
745	72370.3098
746	72337.01912
747	72315.94533
748	72279.74984
749	72269.72525
750	72245.52883
751	72220.21887
752	72191.25841
753	72149.66239
754	72102.63836
755	72074.86473
756	72034.08896
757	72010.39411
758	71966.35135
759	71934.70232
760	71916.30049
761	71884.03717
762	71858.59967
763	71835.78733
764	71802.1099
765	71775.89036
766	71749.50466
767	71739.46141
768	71706.14067
769	71669.31375
770	71646.42135
771	71586.66646
772	71526.74113
773	71518.22937
774	71492.31609
775	71438.45123
776	71415.43952
777	71379.14414
778	71355.89436
779	71325.53177
780	71293.68503
781	71271.10787
782	71250.17985
783	71220.08779
784	71182.62699
785	71167.91631
786	71145.031
787	71131.06496
788	71099.20191
789	71066.47128
790	71022.16685
791	70978.18308
792	70958.86791
793	70930.79911
794	70899.43557
795	70870.66283
796	70853.32658
797	70824.24078
798	70797.45168
799	70768.51637
800	70742.36834
801	70720.70532
802	70682.01781
803	70653.56485
804	70629.66973
805	70609.76745
806	70597.75168
807	70578.83038
808	70546.192
809	70504.91791
810	70464.45416
811	70445.10974
812	70420.4438
813	70394.81788
814	70368.01305
815	70337.68742
816	70324.08885
817	70306.07403
818	70290.85344
819	70266.93366
820	70231.12588
821	70199.61924
822	70162.41046
823	70143.17329
824	70130.2279
825	70102.96035
826	70064.7555
827	70048.66562
828	70033.96904
829	69984.17689
830	69964.78858
831	69946.46033
832	69905.16056
833	69884.7025
834	69845.13049
835	69820.73636
836	69784.79879
837	69772.2759
838	69758.25689
839	69719.85412
840	69707.17501
841	69680.84234
842	69653.37224
843	69619.60331
844	69599.26097
845	69568.28974
846	69553.36175
847	69539.8792
848	69521.78514
849	69502.02601
850	69489.62444
851	69481.52202
852	69461.47854
853	69428.65714
854	69405.58925
855	69387.96056
856	69379.14162
857	69357.60277
858	69340.33355
859	69304.30831
860	69284.84109
861	69257.92307
862	69245.43988
863	69220.57978
864	69199.78677
865	69163.36349
866	69144.68864
867	69105.11106
868	69070.35183
869	69053.38978
870	69026.93525
871	68999.51391
872	68950.1052
873	68934.20513
874	68913.18001
875	68883.36884
876	68846.27564
877	68824.30724
878	68805.59991
879	68796.7408
880	68781.09434
881	68747.37275
882	68715.52004
883	68683.69984
884	68655.28045
885	68641.23581
886	68618.93746
887	68596.15948
888	68543.12531
889	68528.02656
890	68495.26133
891	68475.3319
892	68455.52717
893	68440.09847
894	68406.14506
895	68382.11458
896	68363.74845
897	68339.06756
898	68316.3088
899	68304.02123
900	68288.09373
901	68263.68153
902	68223.63876
903	68200.94588
904	68166.85948
905	68148.524
906	68111.33219
907	68084.4305
908	68064.30842
909	68038.69964
910	68002.82233
911	67968.54049
912	67953.66011
913	67910.31529
914	67894.10371
915	67883.27907
916	67857.12063
917	67847.23531
918	67815.80859
919	67800.04637
920	67783.39212
921	67764.20899
922	67749.06576
923	67733.52493
924	67724.2323
925	67712.96805
926	67672.44927
927	67630.26222
928	67592.07496
929	67560.23312
930	67542.59052
931	67504.60022
932	67480.03428
933	67453.08263
934	67432.12374
935	67417.90732
936	67380.71061
937	67372.1457
938	67357.59229
939	67351.32564
940	67319.49432
941	67303.87103
942	67277.165
943	67254.12768
944	67243.84026
945	67216.18795
946	67192.41589
947	67163.98931
948	67122.37846
949	67114.61184
950	67080.97832
951	67054.64025
952	67037.0243
953	67019.35963
954	66994.05116
955	66979.07426
956	66933.20292
957	66906.73996
958	66882.62557
959	66865.02824
960	66838.31304
961	66814.69922
962	66794.03143
963	66775.79985
964	66756.87406
965	66724.74842
966	66703.38349
967	66674.63024
968	66634.94532
969	66607.12411
970	66587.93966
971	66560.14122
972	66540.02557
973	66516.62519
974	66472.07332
975	66445.16003
976	66437.53569
977	66415.0336
978	66386.93649
979	66367.16977
980	66326.15404
981	66302.42083
982	66292.3051
983	66274.82104
984	66243.50312
985	66215.75591
986	66194.50595
987	66180.23693
988	66160.78679
989	66142.87978
990	66094.04181
991	66074.08994
992	66058.18065
993	66046.62238
994	66026.37672
995	66024.79252
996	66014.20834
997	65991.41086
998	65981.29868
999	65963.32731
